Abstract,Authors,DOI,Issue,Journal,Journal Country,Journal ISSN,Keywords,PMID,Pages,Publication Date,Publication Type,Title,Volume
"BACKGROUND/PURPOSE: Artificial intelligence (AI) has made deep inroads into dentistry in the last few years. The aim of this systematic review was to identify the development of AI applications that are widely employed in dentistry and evaluate their performance in terms of diagnosis, clinical decision-making, and predicting the prognosis of the treatment. MATERIALS AND METHODS: The literature for this paper was identified and selected by performing a thorough search in the electronic data bases like PubMed, Medline, Embase, Cochrane, Google scholar, Scopus, Web of science, and Saudi digital library published over the past two decades (January 2000-March 15, 2020).After applying inclusion and exclusion criteria, 43 articles were read in full and critically analyzed. Quality analysis was performed using QUADAS-2. RESULTS: AI technologies are widely implemented in a wide range of dentistry specialties. Most of the documented work is focused on AI models that rely on convolutional neural networks (CNNs) and artificial neural networks (ANNs). These AI models have been used in detection and diagnosis of dental caries, vertical root fractures, apical lesions, salivary gland diseases, maxillary sinusitis, maxillofacial cysts, cervical lymph nodes metastasis, osteoporosis, cancerous lesions, alveolar bone loss, predicting orthodontic extractions, need for orthodontic treatments, cephalometric analysis, age and gender determination. CONCLUSION: These studies indicate that the performance of an AI based automated system is excellent. They mimic the precision and accuracy of trained specialists, in some studies it was found that these systems were even able to outmatch dental specialists in terms of performance and accuracy.",Khanagar SB; Al-Ehaideb A; Maganur PC; Vishwanathaiah S; Patil S; Baeshen HA; Sarode SC; Bhandi S,10.1016/j.jds.2020.06.019 [doi],1,Journal of dental sciences,Netherlands,2213-8862 (Electronic) 1991-7902 (Print) 1991-7902 (Linking),N/A,33384840,508-522,2021 Jan,Journal Article; Review,"Developments, application, and performance of artificial intelligence in dentistry - A systematic review.",16
"Artificial intelligence (AI) has remarkably increased its presence and significance in a wide range of sectors, including dentistry. It can mimic the intelligence of humans to undertake complex predictions and decision-making in the healthcare sector, particularly in endodontics. The models of AI, such as convolutional neural networks and/or artificial neural networks, have shown a variety of applications in endodontics, including studying the anatomy of the root canal system, forecasting the viability of stem cells of the dental pulp, measuring working lengths, pinpointing root fractures and periapical lesions and forecasting the success of retreatment procedures. Future applications of this technology were considered in relation to scheduling, patient care, drug-drug interactions, prognostic diagnosis, and robotic endodontic surgery. In endodontics, in terms of disease detection, evaluation, and prediction, AI has demonstrated accuracy and precision. AI can aid in the advancement of endodontic diagnosis and therapy, which can enhance endodontic treatment results. However, before incorporating AI models into routine clinical operations, it is still important to further certify the cost-effectiveness, dependability, and applicability of these models.",Agrawal P; Nikhade P,10.7759/cureus.27405 [doi] e27405,7,Cureus,United States,2168-8184 (Print) 2168-8184 (Electronic) 2168-8184 (Linking),N/A,36046326,e27405,2022 Jul,Journal Article; Review,"Artificial Intelligence in Dentistry: Past, Present, and Future.",14
"Artificial intelligence (AI) applications have significantly improved our everyday quality of life. The last decade has witnessed the emergence of up-and-coming applications in the field of dentistry. It is hopeful that AI, especially machine learning (ML), due to its powerful capacity for image processing and decision support systems, will find extensive application in orthodontics in the future. We performed a comprehensive literature review of the latest studies on the application of ML in orthodontic procedures, including diagnosis, decision-making and treatment. Machine learning models have been found to perform similar to or with even higher accuracy than humans in landmark identification, skeletal classification, bone age prediction, and tooth segmentation. Meanwhile, compared to human experts, ML algorithms allow for high agreement and stability in orthodontic decision-making procedures and treatment effect evaluation. However, current research on ML raises important questions regarding its interpretability and dataset sample reliability. Therefore, more collaboration between orthodontic professionals and technicians is urged to achieve a positive symbiosis between AI and the clinic.",Liu J; Chen Y; Li S; Zhao Z; Wu Z,10.17219/acem/138702 [doi],10,Advances in clinical and experimental medicine : official organ Wroclaw Medical University,Poland,1899-5276 (Print) 1899-5276 (Linking),*Artificial Intelligence; Humans; Machine Learning; *Orthodontics; Quality of Life; Reproducibility of Results,34610222,1065-1074,2021 Oct,Journal Article; Review,Machine learning in orthodontics: Challenges and perspectives.,30
"Chat generative pre-trained transformer (ChatGPT) is an artificial intelligence chatbot that uses natural language processing that can respond to human input in a conversational manner. ChatGPT has numerous applications in the health care system including dentistry; it is used in diagnoses and for assessing disease risk and scheduling appointments. It also has a role in scientific research. In the dental field, it has provided many benefits such as detecting dental and maxillofacial abnormalities on panoramic radiographs and identifying different dental restorations. Therefore, it helps in decreasing the workload. But even with these benefits, one should take into consideration the risks and limitations of this chatbot. Few articles mentioned the use of ChatGPT in dentistry. This comprehensive review represents data collected from 66 relevant articles using PubMed and Google Scholar as databases. This review aims to discuss all relevant published articles on the use of ChatGPT in dentistry.",Alhaidry HM; Fatani B; Alrayes JO; Almana AM; Alfhaed NK,10.7759/cureus.38317 [doi] e38317,4,Cureus,United States,2168-8184 (Print) 2168-8184 (Electronic) 2168-8184 (Linking),N/A,37266053,e38317,2023 Apr,Journal Article; Review,ChatGPT in Dentistry: A Comprehensive Review.,15
"Artificial intelligence (AI) encompasses a broad spectrum of emerging technologies that continue to influence daily life. The evolution of AI makes the analysis of big data possible, which provides reliable information and improves the decision-making process. This article introduces the principles of AI and reviews the development of AI and how it is currently being used. AI technology has influenced the health care field because of the need for accurate diagnosis and superior patient care. In order to understand the trend of AI in dentistry, electronic searching was carried out, combined with approaching individual companies to obtain the details of AI-based services. The current applications of AI in clinical dentistry were introduced and summarized. In the future, the AI-based comprehensive care system is expected to establish high-quality patient care and innovative research and development, facilitating advanced decision support tools. The authors believe that an innovative inter-professional coordination among clinicians, researchers, and engineers will be the key to AI development in the field of dentistry. Despite the potential misinterpretations and the concern of patient privacy, AI will continue to connect with dentistry from a comprehensive perspective due to the need for precise treatment procedures and instant information exchange. Moreover, such developments will enable professionals to share health-related big data and deliver insights that improve patient care through hospitals, providers, researchers, and patients.",Chen YW; Stanley K; Att W,10.3290/j.qi.a43952 [doi],3,"Quintessence international (Berlin, Germany : 1985)",Germany,1936-7163 (Electronic) 0033-6572 (Linking),*Artificial Intelligence; Decision Making; *Dentistry; Forecasting; Humans,32020135,248-257,2020,Journal Article,Artificial intelligence in dentistry: current applications and future perspectives.,51
"Artificial intelligence (AI) technology has mostly been used by dental practitioners to diagnose problems, plan treatments, make clinical judgments, and predict outcomes. In endodontics, convolutional neural networks and artificial neural networks, two types of (AI) models, have been used to study the anatomy of the root canal system, measure the length of root canal, identify periapical pathology and root fractures, prediction of success of retreatment procedures, and dental pulp stem cells viability. The goal of this review is to assess AI's role in conservative dentistry and endodontics.",Marwaha J,10.4103/JCDE.JCDE_7_23 [doi],5,Journal of conservative dentistry and endodontics,India,2950-4708 (Electronic) 2950-4716 (Print) 2950-4708 (Linking),N/A,38292353,514-518,2023 Sep-Oct,Journal Article; Review,Artificial intelligence in conservative dentistry and endodontics: A game-changer.,26
"Deep learning (DL) has been employed for a wide range of tasks in dentistry. We aimed to systematically review studies employing DL for periodontal and implantological purposes. A systematic electronic search was conducted on four databases (Medline via PubMed, Google Scholar, Scopus, and Embase) and a repository (ArXiv) for publications after 2010, without any limitation on language. In the present review, we included studies that reported deep learning models' performance on periodontal or oral implantological tasks. Given the heterogeneities in the included studies, no meta-analysis was performed. The risk of bias was assessed using the QUADAS-2 tool. We included 47 studies: focusing on imaging data (n = 20) and non-imaging data in periodontology (n = 12), or dental implantology (n = 15). The detection of periodontitis and gingivitis or periodontal bone loss, the classification of dental implant systems, or the prediction of treatment outcomes in periodontology and implantology were major use cases. The performance of the models was generally high. However, it varied given the employed methods (which includes various types of convolutional neural networks (CNN) and multi-layered perceptron (MLP)), the variety in specific modeling tasks, as well as the chosen and reported outcomes, outcome measures and outcome level. Only a few studies (n = 7) showed a low risk of bias across all assessed domains. A growing number of studies evaluated DL for periodontal or implantological objectives. Heterogeneity in study design, poor reporting and a high risk of bias severely limit the comparability of studies and the robustness of the overall evidence.",Mohammad-Rahimi H; Motamedian SR; Pirayesh Z; Haiat A; Zahedrozegar S; Mahmoudinia E; Rohban MH; Krois J; Lee JH; Schwendicke F,10.1111/jre.13037 [doi],5,Journal of periodontal research,United States,1600-0765 (Electronic) 0022-3484 (Linking),*Alveolar Bone Loss; *Deep Learning; *Gingivitis; Humans; Periodontics; *Periodontitis,35856183,942-951,2022 Oct,Journal Article; Scoping Review,Deep learning in periodontology and oral implantology: A scoping review.,57
"Dentistry increasingly integrates artificial intelligence (AI) to help improve the current state of clinical dental practice. However, this revolutionary technological field raises various complex ethical challenges. The objective of this systematic scoping review is to document the current uses of AI in dentistry and the ethical concerns or challenges they imply. Three health care databases (MEDLINE [PubMed], SciVerse Scopus, and Cochrane Library) and 2 computer science databases (ArXiv, IEEE Xplore) were searched. After identifying 1,553 records, the documents were filtered, and a full-text screening was performed. In total, 178 studies were retained and analyzed by 8 researchers specialized in dentistry, AI, and ethics. The team used Covidence for data extraction and Dedoose for the identification of ethics-related information. PRISMA guidelines were followed. Among the included studies, 130 (73.0%) studies were published after 2016, and 93 (52.2%) were published in journals specialized in computer sciences. The technologies used were neural learning techniques for 75 (42.1%), traditional learning techniques for 76 (42.7%), or a combination of several technologies for 20 (11.2%). Overall, 7 countries contributed to 109 (61.2%) studies. A total of 53 different applications of AI in dentistry were identified, involving most dental specialties. The use of initial data sets for internal validation was reported in 152 (85.4%) studies. Forty-five ethical issues (related to the use AI in dentistry) were reported in 22 (12.4%) studies around 6 principles: prudence (10 times), equity (8), privacy (8), responsibility (6), democratic participation (4), and solidarity (4). The ratio of studies mentioning AI-related ethical issues has remained similar in the past years, showing that there is no increasing interest in the field of dentistry on this topic. This study confirms the growing presence of AI in dentistry and highlights a current lack of information on the ethical challenges surrounding its use. In addition, the scarcity of studies sharing their code could prevent future replications. The authors formulate recommendations to contribute to a more responsible use of AI technologies in dentistry.",Morch CM; Atsu S; Cai W; Li X; Madathil SA; Liu X; Mai V; Tamimi F; Dilhac MA; Ducret M,10.1177/00220345211013808 [doi],13,Journal of dental research,United States,1544-0591 (Electronic) 0022-0345 (Linking),*Artificial Intelligence; *Delivery of Health Care; Dentistry; Forecasting,34060359,1452-1460,2021 Dec,Journal Article; Scoping Review,Artificial Intelligence and Ethics in Dentistry: A Scoping Review.,100
"Background: Machine learning (ML) is a key component of artificial intelligence (AI). The terms machine learning, artificial intelligence, and deep learning are erroneously used interchangeably as they appear as monolithic nebulous entities. This technology offers immense possibilities and opportunities to advance diagnostics in the field of medicine and dentistry. This necessitates a deep understanding of AI and its essential components, such as machine learning (ML), artificial neural networks (ANN), and deep learning (DP). Aim: This review aims to enlighten clinicians regarding AI and its applications in the diagnosis of oral diseases, along with the prospects and challenges involved. Review results: AI has been used in the diagnosis of various oral diseases, such as dental caries, maxillary sinus diseases, periodontal diseases, salivary gland diseases, TMJ disorders, and oral cancer through clinical data and diagnostic images. Larger data sets would enable AI to predict the occurrence of precancerous conditions. They can aid in population-wide surveillance and decide on referrals to specialists. AI can efficiently detect microfeatures beyond the human eye and augment its predictive power in critical diagnosis. Conclusion: Although studies have recognized the benefit of AI, the use of artificial intelligence and machine learning has not been integrated into routine dentistry. AI is still in the research phase. The coming decade will see immense changes in diagnosis and healthcare built on the back of this research. Clinical significance: This paper reviews the various applications of AI in dentistry and illuminates the shortcomings faced while dealing with AI research and suggests ways to tackle them. Overcoming these pitfalls will aid in integrating AI seamlessly into dentistry.",Patil S; Albogami S; Hosmani J; Mujoo S; Kamil MA; Mansour MA; Abdul HN; Bhandi S; Ahmed SSSJ,10.3390/diagnostics12051029 [doi] 1029,5,"Diagnostics (Basel, Switzerland)",Switzerland,2075-4418 (Print) 2075-4418 (Electronic) 2075-4418 (Linking),N/A,35626185,N/A,2022 Apr 19,Journal Article; Review,Artificial Intelligence in the Diagnosis of Oral Diseases: Applications and Pitfalls.,12
"OBJECTIVE: To perform a comprehensive review of the use of artificial intelligence (AI) and machine learning (ML) in dentistry, providing the community with a broad insight on the different advances that these technologies and tools have produced, paying special attention to the area of esthetic dentistry and color research. MATERIALS AND METHODS: The comprehensive review was conducted in MEDLINE/PubMed, Web of Science, and Scopus databases, for papers published in English language in the last 20 years. RESULTS: Out of 3871 eligible papers, 120 were included for final appraisal. Study methodologies included deep learning (DL; n = 76), fuzzy logic (FL; n = 12), and other ML techniques (n = 32), which were mainly applied to disease identification, image segmentation, image correction, and biomimetic color analysis and modeling. CONCLUSIONS: The insight provided by the present work has reported outstanding results in the design of high-performance decision support systems for the aforementioned areas. The future of digital dentistry goes through the design of integrated approaches providing personalized treatments to patients. In addition, esthetic dentistry can benefit from those advances by developing models allowing a complete characterization of tooth color, enhancing the accuracy of dental restorations. CLINICAL SIGNIFICANCE: The use of AI and ML has an increasing impact on the dental profession and is complementing the development of digital technologies and tools, with a wide application in treatment planning and esthetic dentistry procedures.",Carrillo-Perez F; Pecho OE; Morales JC; Paravina RD; Della Bona A; Ghinea R; Pulgar R; Perez MDM; Herrera LJ,10.1111/jerd.12844 [doi],1,Journal of esthetic and restorative dentistry : official publication of the American Academy of Esthetic Dentistry ... [et al.],England,1708-8240 (Electronic) 1496-4155 (Linking),*Artificial Intelligence; *Dentistry; Forecasting; Humans; Machine Learning,34842324,259-280,2022 Jan,"Journal Article; Research Support, Non-U.S. Gov't; Review",Applications of artificial intelligence in dentistry: A comprehensive review.,34
"(1) Background: The rapid pace of digital development in everyday life is also reflected in dentistry, including the emergence of the first systems based on artificial intelligence (AI). This systematic review focused on the recent scientific literature and provides an overview of the application of AI in the dental discipline of prosthodontics. (2) Method: According to a modified PICO-strategy, an electronic (MEDLINE, EMBASE, CENTRAL) and manual search up to 30 June 2021 was carried out for the literature published in the last five years reporting the use of AI in the field of prosthodontics. (3) Results: 560 titles were screened, of which 30 abstracts and 16 full texts were selected for further review. Seven studies met the inclusion criteria and were analyzed. Most of the identified studies reported the training and application of an AI system (n = 6) or explored the function of an intrinsic AI system in a CAD software (n = 1). (4) Conclusions: While the number of included studies reporting the use of AI was relatively low, the summary of the obtained findings by the included studies represents the latest AI developments in prosthodontics demonstrating its application for automated diagnostics, as a predictive measure, and as a classification or identification tool. In the future, AI technologies will likely be used for collecting, processing, and organizing patient-related datasets to provide patient-centered, individualized dental treatment.",Bernauer SA; Zitzmann NU; Joda T,10.3390/s21196628 [doi] 6628,19,"Sensors (Basel, Switzerland)",Switzerland,1424-8220 (Electronic) 1424-8220 (Linking),*Artificial Intelligence; Delivery of Health Care; Humans; *Prosthodontics,34640948,N/A,2021 Oct 5,Journal Article; Review; Systematic Review,The Use and Performance of Artificial Intelligence in Prosthodontics: A Systematic Review.,21
"In recent years, there has been the notable emergency of artificial intelligence (AI) as a transformative force in multiple domains, including orthodontics. This review aims to provide a comprehensive overview of the present state of AI applications in orthodontics, which can be categorized into the following domains: (1) diagnosis, including cephalometric analysis, dental analysis, facial analysis, skeletal-maturation-stage determination and upper-airway obstruction assessment; (2) treatment planning, including decision making for extractions and orthognathic surgery, and treatment outcome prediction; and (3) clinical practice, including practice guidance, remote care, and clinical documentation. We have witnessed a broadening of the application of AI in orthodontics, accompanied by advancements in its performance. Additionally, this review outlines the existing limitations within the field and offers future perspectives.",Liu J; Zhang C; Shan Z,10.3390/healthcare11202760 [doi] 2760,20,"Healthcare (Basel, Switzerland)",Switzerland,2227-9032 (Print) 2227-9032 (Electronic) 2227-9032 (Linking),N/A,37893833,N/A,2023 Oct 18,Journal Article; Review,Application of Artificial Intelligence in Orthodontics: Current State and Future Perspectives.,11
N/A,N/A,S0020-6539(24)01622-8 [pii] 10.1016/j.identj.2024.12.004 [doi],1,International dental journal,England,1875-595X (Electronic) 0020-6539 (Print) 0020-6539 (Linking),N/A,39842951,4-Mar,2025 Feb,Journal Article; Practice Guideline,Artificial intelligence in dentistry.,75
"OBJECTIVE: The applications of artificial intelligence (AI) are increasing in restorative dentistry; however, the AI performance is unclear for dental professionals. The purpose of this narrative review was to evaluate the applications, functions, and accuracy of AI in diverse aspects of restorative dentistry including caries detection, tooth preparation margin detection, tooth restoration design, metal structure casting, dental restoration/implant detection, removable partial denture design, and tooth shade determination. OVERVIEW: An electronic search was performed on Medline/PubMed, Embase, Web of Science, Cochrane, Scopus, and Google Scholar databases. English-language articles, published from January 1, 2000, to March 1, 2022, relevant to the aforementioned aspects were selected using the key terms of artificial intelligence, machine learning, deep learning, artificial neural networks, convolutional neural networks, clustering, soft computing, automated planning, computational learning, computer vision, and automated reasoning as inclusion criteria. A manual search was also performed. Therefore, 157 articles were included, reviewed, and discussed. CONCLUSIONS: Based on the current literature, the AI models have shown promising performance in the mentioned aspects when being compared with traditional approaches in terms of accuracy; however, as these models are still in development, more studies are required to validate their accuracy and apply them to routine clinical practice. CLINICAL SIGNIFICANCE: AI with its specific functions has shown successful applications with acceptable accuracy in diverse aspects of restorative dentistry. The understanding of these functions may lead to novel applications with optimal accuracy for AI in restorative dentistry.",Tabatabaian F; Vora SR; Mirabbasi S,10.1111/jerd.13079 [doi],6,Journal of esthetic and restorative dentistry : official publication of the American Academy of Esthetic Dentistry ... [et al.],England,1708-8240 (Electronic) 1496-4155 (Linking),Humans; *Artificial Intelligence; Dentistry; *Dental Caries,37522291,842-859,2023 Sep,Journal Article; Review,"Applications, functions, and accuracy of artificial intelligence in restorative dentistry: A literature review.",35
"AIM: This comprehensive review is aimed at evaluating the diagnostic and prognostic accuracy of artificial intelligence in endodontic dentistry. INTRODUCTION: Artificial intelligence (AI) is a relatively new technology that has widespread use in dentistry. The AI technologies have primarily been used in dentistry to diagnose dental diseases, plan treatment, make clinical decisions, and predict the prognosis. AI models like convolutional neural networks (CNN) and artificial neural networks (ANN) have been used in endodontics to study root canal system anatomy, determine working length measurements, detect periapical lesions and root fractures, predict the success of retreatment procedures, and predict the viability of dental pulp stem cells. Methodology. The literature was searched in electronic databases such as Google Scholar, Medline, PubMed, Embase, Web of Science, and Scopus, published over the last four decades (January 1980 to September 15, 2021) by using keywords such as artificial intelligence, machine learning, deep learning, application, endodontics, and dentistry. RESULTS: The preliminary search yielded 2560 articles relevant enough to the paper's purpose. A total of 88 articles met the eligibility criteria. The majority of research on AI application in endodontics has concentrated on tracing apical foramen, verifying the working length, projection of periapical pathologies, root morphologies, and retreatment predictions and discovering the vertical root fractures. CONCLUSION: In endodontics, AI displayed accuracy in terms of diagnostic and prognostic evaluations. The use of AI can help enhance the treatment plan, which in turn can lead to an increase in the success rate of endodontic treatment outcomes. The AI is used extensively in endodontics and could help in clinical applications, such as detecting root fractures, periapical pathologies, determining working length, tracing apical foramen, the morphology of root, and disease prediction.",Karobari MI; Adil AH; Basheer SN; Murugesan S; Savadamoorthi KS; Mustafa M; Abdulwahed A; Almokhatieb AA,10.1155/2023/7049360 [doi] 7049360,N/A,Computational and mathematical methods in medicine,United States,1748-6718 (Electronic) 1748-670X (Print) 1748-670X (Linking),"Humans; *Artificial Intelligence; *Fractures, Bone; Prognosis; Root Canal Therapy/methods; Treatment Outcome; *Endodontics",36761829,7049360,2023,Journal Article; Review,Evaluation of the Diagnostic and Prognostic Accuracy of Artificial Intelligence in Endodontic Dentistry: A Comprehensive Review of Literature.,2023
"OBJECTIVES: Periapical periodontitis and caries are common chronic oral diseases affecting most teenagers and adults worldwide. The purpose of this study was to develop an evaluation tool to automatically detect dental caries and periapical periodontitis on periapical radiographs using deep learning. METHODS: A modified deep learning model was developed using a large dataset (4129 images) with high-quality annotations to support the automatic detection of both dental caries and periapical periodontitis. The performance of the model was compared to the classification performance of dentists. RESULTS: The deep learning model automatically distinguished dental caries with an F1-score of 0.829 and periapical periodontitis with an F1-score of 0.828. The comparison of model-only and expert-only detection performance showed that the accuracy of the fully automatic method was significantly higher than that of the young dentists. With deep learning assistance, the experts not only reached a higher diagnostic accuracy with an average F1-score of 0.7844 for dental caries and 0.8208 for periapical periodontitis compared to expert-only scenarios, but also increased inter-observer agreement from 0.585/0.590 to 0.726/0.713 for dental caries and from 0.623/0.563 to 0.752/0.740 for periapical periodontitis. CONCLUSIONS: Based on these experimental results, deep learning can improve the accuracy and consistency of evaluating dental caries and periapical periodontitis on periapical radiographs. CLINICAL SIGNIFICANCE: Deep learning models can improve accuracy and consistency and reduce the workload of dentists, making artificial intelligence a powerful tool for clinical practice.",Li S; Liu J; Zhou Z; Zhou Z; Wu X; Li Y; Wang S; Liao W; Ying S; Zhao Z,S0300-5712(22)00164-6 [pii] 10.1016/j.jdent.2022.104107 [doi],N/A,Journal of dentistry,England,1879-176X (Electronic) 0300-5712 (Linking),"Adolescent; Artificial Intelligence; *Dental Caries/diagnostic imaging; Dental Caries Susceptibility; Humans; Neural Networks, Computer; *Periapical Periodontitis/diagnostic imaging",35341892,104107,2022 Jul,"Journal Article; Research Support, Non-U.S. Gov't",Artificial intelligence for caries and periapical periodontitis detection.,122
"PURPOSE: Uses for artificial intelligence (AI) are being explored in contemporary dentistry, but artificial intelligence in dental shade-matching has not been systematically reviewed and evaluated. The purpose of this systematic review was to evaluate the accuracy of artificial intelligence in predicting dental shades in restorative dentistry. METHODS: A systematic electronic search was performed with the databases MEDLINE (PubMed), Scopus, Cochrane Library, and Google Scholar. A manual search was also conducted. All titles and abstracts were subject to the inclusion criteria of observational, interventional studies, and studies published in the English language. Narrative reviews, systematic reviews, case reports, case series, letters to the editor, commentaries, studies that were not AI-based, studies that were not related to dentistry, and studies that were related to other disciplines in dentistry, other than restorative dentistry (prosthodontics and endodontics) were excluded. Two investigators independently evaluated the quality assessment of the studies by applying the Joanna Briggs Institute Critical Appraisal Checklist for Quasi-Experimental Studies (non-randomized experimental studies). A third investigator was consulted to resolve the lack of consensus. RESULTS: Fifty-three articles were initially found from all the searches combined from articles published from 2008 till March 2023. A total of 15 articles met the inclusion criteria and were included in the systematic review. AI algorithms for shade-matching include fuzzy logic, a genetic algorithm with back-propagation neural network, back-propagation neural networks, convolutional neural networks, artificial neural networks, support vector machine algorithms, K-nearest neighbor with decision tree and random forest, deep learning for detection of dental prostheses based on object-detection applications, You Only Look Once-YOLO. Moment invariant was used for feature extraction.  XG (Xtreme Gradient) Boost was used in one study as a gradient-boosting machine learning algorithm. The highest accuracy in the prediction of dental shades was the decision tree regression model for leucite-based dental ceramics of 99.7% followed by the fuzzy decision of 99.62%, and support vector machine using cross-validation of 97%. CONCLUSIONS: Lighting conditions, shade-matching devices and color space models, and the type of AI algorithm influence the accuracy of the prediction of dental shades. Knowledge-based systems and neural networks have shown better accuracy in predicting dental shades.",Shetty S; Gali S; Augustine D; Sv S,10.1111/jopr.13805 [doi],6,Journal of prosthodontics : official journal of the American College of Prosthodontists,United States,1532-849X (Electronic) 1059-941X (Linking),"*Artificial Intelligence; Humans; Prosthesis Coloring/methods; Color; Dental Prosthesis Design/methods; Neural Networks, Computer",37986239,519-532,2024 Jul,Journal Article; Review; Systematic Review,Artificial intelligence systems in dental shade-matching: A systematic review.,33
"BACKGROUND: The aim of this study was to evaluate the success of the artificial intelligence (AI) system in implant planning using three-dimensional cone-beam computed tomography (CBCT) images. METHODS: Seventy-five CBCT images were included in this study. In these images, bone height and thickness in 508 regions where implants were required were measured by a human observer with manual assessment method using InvivoDental 6.0 (Anatomage Inc. San Jose, CA, USA). Also, canals/sinuses/fossae associated with alveolar bones and missing tooth regions were detected. Following, all evaluations were repeated using the deep convolutional neural network (Diagnocat, Inc., San Francisco, USA) The jaws were separated as mandible/maxilla and each jaw was grouped as anterior/premolar/molar teeth region. The data obtained from manual assessment and AI methods were compared using Bland-Altman analysis and Wilcoxon signed rank test. RESULTS: In the bone height measurements, there were no statistically significant differences between AI and manual measurements in the premolar region of mandible and the premolar and molar regions of the maxilla (p > 0.05). In the bone thickness measurements, there were statistically significant differences between AI and manual measurements in all regions of maxilla and mandible (p < 0.001). Also, the percentage of right detection was 72.2% for canals, 66.4% for sinuses/fossae and 95.3% for missing tooth regions. CONCLUSIONS: Development of AI systems and their using in future for implant planning will both facilitate the work of physicians and will be a support mechanism in implantology practice to physicians.",Kurt Bayrakdar S; Orhan K; Bayrakdar IS; Bilgir E; Ezhov M; Gusarev M; Shumilov E,10.1186/s12880-021-00618-z [doi] 86,1,BMC medical imaging,England,1471-2342 (Electronic) 1471-2342 (Linking),"Alveolar Process/*diagnostic imaging; Bone Density; Cone-Beam Computed Tomography/*methods; *Deep Learning; Dental Implantation; *Dental Implants; Humans; Jaw, Edentulous, Partially/diagnostic imaging; Mandible/*diagnostic imaging; Mandibular Canal/diagnostic imaging; Maxilla/*diagnostic imaging; Nasal Cavity/diagnostic imaging; Neural Networks, Computer; Patient Care Planning; Radiography, Dental/methods",34011314,86,2021 May 19,Journal Article,A deep learning approach for dental implant planning in cone-beam computed tomography images.,21
"INTRODUCTION: Artificial Intelligence (AI) is a burning topic and use of AI in our day-to-day life has increased exponentially. The purpose of this study was to evaluate the attitudes and perceptions of Turkish dental students towards AI and to provide information about their opinions to use of AI in dentistry. METHODS: A 22-question survey was distributed through Google Forms to all dental students at 9 Turkish dental schools in March 2019. It consisted of various sections aiming to evaluate the dental students' knowledge and attitudes toward AI and possible applications in dentistry. Respondents' anonymity was ensured. RESULTS: A total of 1103 students (650 female, 453 male; mean age was 21.36 +/- 1.93 years) responded to the questionnaire for a 21.69% response rate. Of these, about 48.40% had basic knowledge about AI technologies and 10.6% stated that they had no information sources about AI. 85.70% agreed that dentistry would be revolutionized by AI but 28.60% did not agree that AI could replace themselves in the near future. In addition, 74.60% and 79.80% of agreed on topics about AI to be included in undergraduate and postgraduate dental education, respectively. CONCLUSIONS: Although participants have insufficient knowledge of AI, they are willing to improve their knowledge in this field. Participants shared an optimistic views and thought that AI will have a positive impact on dental future practice. Follow-up surveys and multinational studies should be conducted to further explore these issues.",Yuzbasioglu E,10.1002/jdd.12385 [doi],1,Journal of dental education,United States,1930-7837 (Electronic) 0022-0337 (Linking),"Adult; *Artificial Intelligence; Attitude of Health Personnel; Female; Health Knowledge, Attitudes, Practice; Humans; Male; Perception; *Students, Dental; Surveys and Questionnaires; Young Adult",32851649,60-68,2021 Jan,Journal Article,Attitudes and perceptions of dental students towards artificial intelligence.,85
"OBJECTIVES: This systematic review aimed at evaluating the performance of artificial intelligence (AI) models in detecting dental caries on oral photographs. METHODS: Methodological characteristics and performance metrics of clinical studies reporting on deep learning and other machine learning algorithms were assessed. The risk of bias was evaluated using the quality assessment of diagnostic accuracy studies 2 (QUADAS-2) tool. A systematic search was conducted in EMBASE, Medline, and Scopus. RESULTS: Out of 3410 identified records, 19 studies were included with six and seven studies having low risk of biases and applicability concerns for all the domains, respectively. Metrics varied widely and were assessed on multiple levels. F1-scores for classification and detection tasks were 68.3%-94.3% and 42.8%-95.4%, respectively. Irrespective of the task, F1-scores were 68.3%-95.4% for professional cameras, 78.8%-87.6%, for intraoral cameras, and 42.8%-80% for smartphone cameras. Limited studies allowed assessing AI performance for lesions of different severity. CONCLUSION: Automatic detection of dental caries using AI may provide objective verification of clinicians' diagnoses and facilitate patient-clinician communication and teledentistry. Future studies should consider more robust study designs, employ comparable and standardized metrics, and focus on the severity of caries lesions.",Moharrami M; Farmer J; Singhal S; Watson E; Glogauer M; Johnson AEW; Schwendicke F; Quinonez C,10.1111/odi.14659 [doi],4,Oral diseases,Denmark,1601-0825 (Electronic) 1354-523X (Linking),"Humans; *Artificial Intelligence; Deep Learning; *Dental Caries/diagnosis; Machine Learning; Photography; Photography, Dental; Image Processing, Computer-Assisted",37392423,1765-1783,2024 May,"Journal Article; Research Support, Non-U.S. Gov't; Review; Systematic Review",Detecting dental caries on oral photographs using artificial intelligence: A systematic review.,30
N/A,Mupparapu M; Wu CW; Chen YC,10.3290/j.qi.a41107 [doi],9,"Quintessence international (Berlin, Germany : 1985)",Germany,1936-7163 (Electronic) 0033-6572 (Linking),"Artificial Intelligence/*trends; Deep Learning/*trends; Dental Care/*trends; Diagnosis, Oral/*trends; Humans; Machine Learning",30202834,687-688,2018,Editorial,"Artificial intelligence, machine learning, neural networks, and deep learning: Futuristic concepts for new dental diagnosis.",49
