PMID,Title,Authors,Journal,Publication Date,Abstract,DOI,Keywords
32020135,Artificial intelligence in dentistry: current applications and future perspectives.,"Chen, Yo-Wei; Stanley, Kyle; Att, Wael","Quintessence international (Berlin, Germany : 1985)",2020,"Artificial intelligence (AI) encompasses a broad spectrum of emerging technologies that continue to influence daily life. The evolution of AI makes the analysis of big data possible, which provides reliable information and improves the decision-making process. This article introduces the principles of AI and reviews the development of AI and how it is currently being used. AI technology has influenced the health care field because of the need for accurate diagnosis and superior patient care. In order to understand the trend of AI in dentistry, electronic searching was carried out, combined with approaching individual companies to obtain the details of AI-based services. The current applications of AI in clinical dentistry were introduced and summarized. In the future, the AI-based comprehensive care system is expected to establish high-quality patient care and innovative research and development, facilitating advanced decision support tools. The authors believe that an innovative inter-professional coordination among clinicians, researchers, and engineers will be the key to AI development in the field of dentistry. Despite the potential misinterpretations and the concern of patient privacy, AI will continue to connect with dentistry from a comprehensive perspective due to the need for precise treatment procedures and instant information exchange. Moreover, such developments will enable professionals to share health-related big data and deliver insights that improve patient care through hospitals, providers, researchers, and patients.",10.3290/j.qi.a43952,artificial intelligence; big data; caries detection; future dentistry; machine learning
34060359,Artificial Intelligence and Ethics in Dentistry: A Scoping Review.,"Mörch, C M; Atsu, S; Cai, W; Li, X; Madathil, S A; Liu, X; Mai, V; Tamimi, F; Dilhac, M A; Ducret, M",Journal of dental research,Dec 2021,"Dentistry increasingly integrates artificial intelligence (AI) to help improve the current state of clinical dental practice. However, this revolutionary technological field raises various complex ethical challenges. The objective of this systematic scoping review is to document the current uses of AI in dentistry and the ethical concerns or challenges they imply. Three health care databases (MEDLINE [PubMed], SciVerse Scopus, and Cochrane Library) and 2 computer science databases (ArXiv, IEEE Xplore) were searched. After identifying 1,553 records, the documents were filtered, and a full-text screening was performed. In total, 178 studies were retained and analyzed by 8 researchers specialized in dentistry, AI, and ethics. The team used Covidence for data extraction and Dedoose for the identification of ethics-related information. PRISMA guidelines were followed. Among the included studies, 130 (73.0%) studies were published after 2016, and 93 (52.2%) were published in journals specialized in computer sciences. The technologies used were neural learning techniques for 75 (42.1%), traditional learning techniques for 76 (42.7%), or a combination of several technologies for 20 (11.2%). Overall, 7 countries contributed to 109 (61.2%) studies. A total of 53 different applications of AI in dentistry were identified, involving most dental specialties. The use of initial data sets for internal validation was reported in 152 (85.4%) studies. Forty-five ethical issues (related to the use AI in dentistry) were reported in 22 (12.4%) studies around 6 principles: prudence (10 times), equity (8), privacy (8), responsibility (6), democratic participation (4), and solidarity (4). The ratio of studies mentioning AI-related ethical issues has remained similar in the past years, showing that there is no increasing interest in the field of dentistry on this topic. This study confirms the growing presence of AI in dentistry and highlights a current lack of information on the ethical challenges surrounding its use. In addition, the scarcity of studies sharing their code could prevent future replications. The authors formulate recommendations to contribute to a more responsible use of AI technologies in dentistry.",10.1177/00220345211013808,AI; deep learning; dental research; digital technology; machine learning; reproducibility of results
37522291,"Applications, functions, and accuracy of artificial intelligence in restorative dentistry: A literature review.","Tabatabaian, Farhad; Vora, Siddharth R; Mirabbasi, Shahriar",Journal of esthetic and restorative dentistry : official publication of the American Academy of Esthetic Dentistry ... [et al.],Sep 2023,"The applications of artificial intelligence (AI) are increasing in restorative dentistry; however, the AI performance is unclear for dental professionals. The purpose of this narrative review was to evaluate the applications, functions, and accuracy of AI in diverse aspects of restorative dentistry including caries detection, tooth preparation margin detection, tooth restoration design, metal structure casting, dental restoration/implant detection, removable partial denture design, and tooth shade determination. An electronic search was performed on Medline/PubMed, Embase, Web of Science, Cochrane, Scopus, and Google Scholar databases. English-language articles, published from January 1, 2000, to March 1, 2022, relevant to the aforementioned aspects were selected using the key terms of artificial intelligence, machine learning, deep learning, artificial neural networks, convolutional neural networks, clustering, soft computing, automated planning, computational learning, computer vision, and automated reasoning as inclusion criteria. A manual search was also performed. Therefore, 157 articles were included, reviewed, and discussed. Based on the current literature, the AI models have shown promising performance in the mentioned aspects when being compared with traditional approaches in terms of accuracy; however, as these models are still in development, more studies are required to validate their accuracy and apply them to routine clinical practice. AI with its specific functions has shown successful applications with acceptable accuracy in diverse aspects of restorative dentistry. The understanding of these functions may lead to novel applications with optimal accuracy for AI in restorative dentistry.",10.1111/jerd.13079,accuracy; artificial intelligence; machine learning; prosthodontics; restorative dentistry
36761829,Evaluation of the Diagnostic and Prognostic Accuracy of Artificial Intelligence in Endodontic Dentistry: A Comprehensive Review of Literature.,"Karobari, Mohmed Isaqali; Adil, Abdul Habeeb; Basheer, Syed Nahid; Murugesan, Sabari; Savadamoorthi, Kamatchi Subramani; Mustafa, Mohammed; Abdulwahed, Abdulaziz; Almokhatieb, Ahmed A",Computational and mathematical methods in medicine,2023,"This comprehensive review is aimed at evaluating the diagnostic and prognostic accuracy of artificial intelligence in endodontic dentistry. Artificial intelligence (AI) is a relatively new technology that has widespread use in dentistry. The AI technologies have primarily been used in dentistry to diagnose dental diseases, plan treatment, make clinical decisions, and predict the prognosis. AI models like convolutional neural networks (CNN) and artificial neural networks (ANN) have been used in endodontics to study root canal system anatomy, determine working length measurements, detect periapical lesions and root fractures, predict the success of retreatment procedures, and predict the viability of dental pulp stem cells.  The preliminary search yielded 2560 articles relevant enough to the paper's purpose. A total of 88 articles met the eligibility criteria. The majority of research on AI application in endodontics has concentrated on tracing apical foramen, verifying the working length, projection of periapical pathologies, root morphologies, and retreatment predictions and discovering the vertical root fractures. In endodontics, AI displayed accuracy in terms of diagnostic and prognostic evaluations. The use of AI can help enhance the treatment plan, which in turn can lead to an increase in the success rate of endodontic treatment outcomes. The AI is used extensively in endodontics and could help in clinical applications, such as detecting root fractures, periapical pathologies, determining working length, tracing apical foramen, the morphology of root, and disease prediction.",10.1016/j.joen.2012.05.004,
34119562,Artificial Intelligence in Endodontics: Current Applications and Future Directions.,"Aminoshariae, Anita; Kulild, Jim; Nagendrababu, Venkateshbabu",Journal of endodontics,Sep 2021,"Artificial intelligence (AI) has the potential to replicate human intelligence to perform prediction and complex decision making in health care and has significantly increased its presence and relevance in various tasks and applications in dentistry, especially endodontics. The aim of this review was to discuss the current endodontic applications of AI and potential future directions. Articles that have addressed the applications of AI in endodontics were evaluated for information pertinent to include in this narrative review. AI models (eg, convolutional neural networks and/or artificial neural networks) have demonstrated various applications in endodontics such as studying root canal system anatomy, detecting periapical lesions and root fractures, determining working length measurements, predicting the viability of dental pulp stem cells, and predicting the success of retreatment procedures. The future of this technology was discussed in light of helping with scheduling, treating patients, drug-drug interactions, diagnosis with prognostic values, and robotic-assisted endodontic surgery. AI demonstrated accuracy and precision in terms of detection, determination, and disease prediction in endodontics. AI can contribute to the improvement of diagnosis and treatment that can lead to an increase in the success of endodontic treatment outcomes. However, it is still necessary to further verify the reliability, applicability, and cost-effectiveness of AI models before transferring these models into day-to-day clinical practice.",10.1016/j.joen.2021.06.003,Artificial intelligence; artificial neural networks; convolutional neural networks; endodontics
37461385,Artificial intelligence in dentistry: a review of ChatGPT's role and potential.,"Buzayan, Muaiyed Mahmoud; Sivakumar, Indumathi; Mohd, Noorhayati Raja","Quintessence international (Berlin, Germany : 1985)",17 Jul 2023,,10.3290/j.qi.b4218569,
39993553,Artificial intelligence in dentistry: Exploring emerging applications and future prospects.,"Lee, Sang J; Poon, Jessica; Jindarojanakul, Apissada; Huang, Chu-Chi; Viera, Oliver; Cheong, Chan W; Lee, Jason D",Journal of dentistry,Apr 2025,"This narrative review aimed to explore the evolution and advancements of artificial intelligence technologies, highlighting their transformative impact on healthcare, education, and specific aspects within dentistry as a field. Subtopics within artificial intelligence technologies in dentistry were identified and divided among four reviewers. Electronic searches were performed with search terms that included: artificial intelligence, technologies, healthcare, education, dentistry, restorative, prosthodontics, periodontics, endodontics, oral surgery, oral pathology, oral medicine, implant dentistry, dental education, dental patient care, dental practice management, and combinations of the keywords. selection: A total of 120 articles were included for review that evaluated the use of artificial intelligence technologies within the healthcare and dental field. No formal evidence-based quality assessment was performed due to the narrative nature of this review. The conducted search was limited to the English language with no other further restrictions. The significance and applications of artificial intelligence technologies on the areas of dental education, dental patient care, and dental practice management were reviewed, along with the existing limitations and future directions of artificial intelligence in dentistry as whole. Current artificial intelligence technologies have shown promising efforts to bridge the gap between theoretical knowledge and clinical practice in dental education, as well as improved diagnostic information gathering and clinical decision-making abilities in patient care throughout various dental specialties. The integration of artificial intelligence into patient administration aspects have enabled practices to develop more efficient management workflows. Despite the limitations that exist, the integration of artificial intelligence into the dental profession comes with numerous benefits that will continue to evolve each day. While the challenges and ethical considerations, mainly concerns about data privacy, are areas that need to be further addressed, the future of artificial intelligence in dentistry looks promising, with ongoing research aimed at overcoming current limitations and expanding artificial intelligence technologies.",10.1016/j.jdent.2025.105648,Artificial intelligence; Dental education; Dental patient care; Dental practice management; Dental technology; Dentistry; Digital dentistry; Healthcare; Technologies
32349877,Dentronics: Towards robotics and artificial intelligence in dentistry.,"Grischke, Jasmin; Johannsmeier, Lars; Eich, Lukas; Griga, Leif; Haddadin, Sami",Dental materials : official publication of the Academy of Dental Materials,Jun 2020,"This paper provides an overview of existing applications and concepts of robotic systems and artificial intelligence in dentistry. This review aims to provide the community with novel inputs and argues for an increased utilization of these recent technological developments, referred to as Dentronics, in order to advance dentistry. First, background on developments in robotics, artificial intelligence (AI) and machine learning (ML) are reviewed that may enable novel assistive applications in dentistry (Sec A). Second, a systematic technology review that evaluates existing state-of-the-art applications in AI, ML and robotics in the context of dentistry is presented (Sec B). A systematic literature research in pubmed yielded in a total of 558 results. 41 studies related to ML, 53 studies related to AI and 49 original research papers on robotics application in dentistry were included. ML and AI have been applied in dental research to analyze large amounts of data to eventually support dental decision making, diagnosis, prognosis and treatment planning with the help of data-driven analysis algorithms based on machine learning. So far, only few robotic applications have made it to reality, mostly restricted to pilot use cases. The authors believe that dentistry can greatly benefit from the current rise of digital human-centered automation and be transformed towards a new robotic, ML and AI-enabled era. In the future, Dentronics will enhance reliability, reproducibility, accuracy and efficiency in dentistry through the democratized use of modern dental technologies, such as medical robot systems and specialized artificial intelligence. Dentronics will increase our understanding of disease pathogenesis, improve risk-assessment-strategies, diagnosis, disease prediction and finally lead to better treatment outcomes.",10.1016/j.dental.2020.03.021,Artificial intelligence; Dental robots; Dentistry; Dentronics; Machine learning; Robot; Robotics
38449036,Current Applications of Artificial Intelligence for Pediatric Dentistry: A Systematic Review and Meta-Analysis.,"Rokhshad, Rata; Zhang, Ping; Mohammad-Rahimi, Hossein; Shobeiri, Parnian; Schwendicke, Falk",Pediatric dentistry,15 Jan 2024,,,
38682436,Artificial Intelligence in Orthodontics: Critical Review.,"Nordblom, N F; Büttner, M; Schwendicke, F",Journal of dental research,Jun 2024,"With increasing digitalization in orthodontics, certain orthodontic manufacturing processes such as the fabrication of indirect bonding trays, aligner production, or wire bending can be automated. However, orthodontic treatment planning and evaluation remains a specialist's task and responsibility. As the prediction of growth in orthodontic patients and response to orthodontic treatment is inherently complex and individual, orthodontists make use of features gathered from longitudinal, multimodal, and standardized orthodontic data sets. Currently, these data sets are used by the orthodontist to make informed, rule-based treatment decisions. In research, artificial intelligence (AI) has been successfully applied to assist orthodontists with the extraction of relevant data from such data sets. Here, AI has been applied for the analysis of clinical imagery, such as automated landmark detection in lateral cephalograms but also for evaluation of intraoral scans or photographic data. Furthermore, AI is applied to help orthodontists with decision support for treatment decisions such as the need for orthognathic surgery or for orthodontic tooth extractions. One major challenge in current AI research in orthodontics is the limited generalizability, as most studies use unicentric data with high risks of bias. Moreover, comparing AI across different studies and tasks is virtually impossible as both outcomes and outcome metrics vary widely, and underlying data sets are not standardized. Notably, only few AI applications in orthodontics have reached full clinical maturity and regulatory approval, and researchers in the field are tasked with tackling real-world evaluation and implementation of AI into the orthodontic workflow.",10.1007/978-3-030-57321-8_12,AI; big data; computer vision/convolutional neural networks; deep learning/machine learning; orthodontic(s); treatment planning
33340123,Promises and perils of artificial intelligence in dentistry.,"Pethani, F",Australian dental journal,Jun 2021,"Artificial intelligence (AI) is a subdiscipline of computer science that has made substantial progress in medicine and there is a growing body of AI research in dentistry. Dentists should have an understanding of the foundational concepts and the ability to critically evaluate dental research in AI. Machine learning (ML) is a subfield of AI that most dental AI research is dedicated to. The most prolific area of ML research is automated interpretation of dental imaging. Other areas include providing treatment recommendations, predicting future disease and treatment outcomes. The research impact is limited by small datasets that do not harness the positive correlation between very large datasets and ML performance. There is also a need to standardize research methodologies and utilize performance metrics that are appropriate for the clinical context. In addition to research challenges, this article discusses the ethical, legal and logistical considerations associated with implementation in clinical practice. This includes explainable AI, model bias, data privacy and security. The future implications of AI in dentistry involve a promise for a novel form of practicing dentistry however, the effect of AI on patient outcomes is yet to be determined.",10.1111/adj.12812,artificial intelligence; dentistry; imaging; machine learning; neural networks
