Title,Authors,Published Date,Abstract,Link
"AraOS: Analyzing the Impact of Virtual Memory Management on Vector Unit
  Performance","Matteo Perotti, Vincenzo Maisto, Moritz Imfeld, Nils Wistoff, Alessandro Cilardo, Luca Benini",2025-04-14T15:53:11Z,"  Vector processor architectures offer an efficient solution for accelerating
data-parallel workloads (e.g., ML, AI), reducing instruction count, and
enhancing processing efficiency. This is evidenced by the increasing adoption
of vector ISAs, such as Arm's SVE/SVE2 and RISC-V's RVV, not only in
high-performance computers but also in embedded systems. The open-source nature
of RVV has particularly encouraged the development of numerous vector processor
designs across industry and academia. However, despite the growing number of
open-source RVV processors, there is a lack of published data on their
performance in a complex application environment hosted by a full-fledged
operating system (Linux). In this work, we add OS support to the open-source
bare-metal Ara2 vector processor (AraOS) by sharing the MMU of CVA6, the scalar
core used for instruction dispatch to Ara2, and integrate AraOS into the
open-source Cheshire SoC platform. We evaluate the performance overhead of
virtual-to-physical address translation by benchmarking matrix multiplication
kernels across several problem sizes and translation lookaside buffer (TLB)
configurations in CVA6's shared MMU, providing insights into vector performance
in a full-system environment with virtual memory. With at least 16 TLB entries,
the virtual memory overhead remains below 3.5%. Finally, we benchmark a 2-lane
AraOS instance with the open-source RiVEC benchmark suite for RVV
architectures, with peak average speedups of 3.2x against scalar-only
execution.
",http://arxiv.org/abs/2504.10345v1
"Domain-Adversarial Neural Network and Explainable AI for Reducing
  Tissue-of-Origin Signal in Pan-cancer Mortality Classification","Cristian Padron-Manrique, Juan José Oropeza Valdez, Osbaldo Resendis-Antonio",2025-04-14T15:51:39Z,"  Tissue-of-origin signals dominate pan-cancer gene expression, often obscuring
molecular features linked to patient survival. This hampers the discovery of
generalizable biomarkers, as models tend to overfit tissue-specific patterns
rather than capture survival-relevant signals. To address this, we propose a
Domain-Adversarial Neural Network (DANN) trained on TCGA RNA-seq data to learn
representations less biased by tissue and more focused on survival. Identifying
tissue-independent genetic profiles is key to revealing core cancer programs.
We assess the DANN using: (1) Standard SHAP, based on the original input space
and DANN's mortality classifier; (2) A layer-aware strategy applied to hidden
activations, including an unsupervised manifold from raw activations and a
supervised manifold from mortality-specific SHAP values. Standard SHAP remains
confounded by tissue signals due to biases inherent in its computation. The raw
activation manifold was dominated by high-magnitude activations, which masked
subtle tissue and mortality-related signals. In contrast, the layer-aware SHAP
manifold offers improved low-dimensional representations of both tissue and
mortality signals, independent of activation strength, enabling subpopulation
stratification and pan-cancer identification of survival-associated genes.
",http://arxiv.org/abs/2504.10343v1
Heimdall: test-time scaling on the generative verification,"Wenlei Shi, Xing Jin",2025-04-14T15:46:33Z,"  An AI system can create and maintain knowledge only to the extent that it can
verify that knowledge itself. Recent work on long Chain-of-Thought reasoning
has demonstrated great potential of LLMs on solving competitive problems, but
their verification ability remains to be weak and not sufficiently
investigated. In this paper, we propose Heimdall, the long CoT verification LLM
that can accurately judge the correctness of solutions. With pure reinforcement
learning, we boost the verification accuracy from 62.5% to 94.5% on competitive
math problems. By scaling with repeated sampling, the accuracy further
increases to 97.5%. Through human evaluation, Heimdall demonstrates impressive
generalization capabilities, successfully detecting most issues in challenging
math proofs, the type of which is not included during training. Furthermore, we
propose Pessimistic Verification to extend the functionality of Heimdall to
scaling up the problem solving. It calls Heimdall to judge the solutions from a
solver model and based on the pessimistic principle, selects the most likely
correct solution with the least uncertainty. Taking
DeepSeek-R1-Distill-Qwen-32B as the solver model, Pessimistic Verification
improves the solution accuracy on AIME2025 from 54.2% to 70.0% with 16x compute
budget and to 83.3% with more compute budget. With the stronger solver Gemini
2.5 Pro, the score reaches 93.0%. Finally, we prototype an automatic knowledge
discovery system, a ternary system where one poses questions, another provides
solutions, and the third verifies the solutions. Using the data synthesis work
NuminaMath for the first two components, Heimdall effectively identifies
problematic records within the dataset and reveals that nearly half of the data
is flawed, which interestingly aligns with the recent ablation studies from
NuminaMath.
",http://arxiv.org/abs/2504.10337v1
InstructEngine: Instruction-driven Text-to-Image Alignment,"Xingyu Lu, Yuhang Hu, YiFan Zhang, Kaiyu Jiang, Changyi Liu, Tianke Zhang, Jinpeng Wang, Bin Wen, Chun Yuan, Fan Yang, Tingting Gao, Di Zhang",2025-04-14T15:36:28Z,"  Reinforcement Learning from Human/AI Feedback (RLHF/RLAIF) has been
extensively utilized for preference alignment of text-to-image models. Existing
methods face certain limitations in terms of both data and algorithm. For
training data, most approaches rely on manual annotated preference data, either
by directly fine-tuning the generators or by training reward models to provide
training signals. However, the high annotation cost makes them difficult to
scale up, the reward model consumes extra computation and cannot guarantee
accuracy. From an algorithmic perspective, most methods neglect the value of
text and only take the image feedback as a comparative signal, which is
inefficient and sparse. To alleviate these drawbacks, we propose the
InstructEngine framework. Regarding annotation cost, we first construct a
taxonomy for text-to-image generation, then develop an automated data
construction pipeline based on it. Leveraging advanced large multimodal models
and human-defined rules, we generate 25K text-image preference pairs. Finally,
we introduce cross-validation alignment method, which refines data efficiency
by organizing semantically analogous samples into mutually comparable pairs.
Evaluations on DrawBench demonstrate that InstructEngine improves SD v1.5 and
SDXL's performance by 10.53% and 5.30%, outperforming state-of-the-art
baselines, with ablation study confirming the benefits of InstructEngine's all
components. A win rate of over 50% in human reviews also proves that
InstructEngine better aligns with human preferences.
",http://arxiv.org/abs/2504.10329v1
Continuous fields of interval algebras,Laurent Cantier,2025-04-14T15:36:03Z,"  This paper investigates and classifies a specific class of one-parameter
continuous fields of C*-algebras, which can be seen as generalized AI-algebras.
Building on the classification of *-homomorphisms between interval algebras by
the Cuntz semigroup, along with a selection theorem and a gluing procedure, we
employ a 'local-to-global' strategy to achieve our classification result.
",http://arxiv.org/abs/2504.10328v1
"AlayaDB: The Data Foundation for Efficient and Effective Long-context
  LLM Inference","Yangshen Deng, Zhengxin You, Long Xiang, Qilong Li, Peiqi Yuan, Zhaoyang Hong, Yitao Zheng, Wanting Li, Runzhong Li, Haotian Liu, Kyriakos Mouratidis, Man Lung Yiu, Huan Li, Qiaomu Shen, Rui Mao, Bo Tang",2025-04-14T15:34:26Z,"  AlayaDB is a cutting-edge vector database system natively architected for
efficient and effective long-context inference for Large Language Models (LLMs)
at AlayaDB AI. Specifically, it decouples the KV cache and attention
computation from the LLM inference systems, and encapsulates them into a novel
vector database system. For the Model as a Service providers (MaaS), AlayaDB
consumes fewer hardware resources and offers higher generation quality for
various workloads with different kinds of Service Level Objectives (SLOs), when
comparing with the existing alternative solutions (e.g., KV cache
disaggregation, retrieval-based sparse attention). The crux of AlayaDB is that
it abstracts the attention computation and cache management for LLM inference
into a query processing procedure, and optimizes the performance via a native
query optimizer. In this work, we demonstrate the effectiveness of AlayaDB via
(i) three use cases from our industry partners, and (ii) extensive experimental
results on LLM inference benchmarks.
",http://arxiv.org/abs/2504.10326v1
Characterizing LLM-driven Social Network: The Chirper.ai Case,"Yiming Zhu, Yupeng He, Ehsan-Ul Haq, Gareth Tyson, Pan Hui",2025-04-14T14:53:31Z,"  Large language models (LLMs) demonstrate the ability to simulate human
decision-making processes, enabling their use as agents in modeling
sophisticated social networks, both offline and online. Recent research has
explored collective behavioral patterns and structural characteristics of LLM
agents within simulated networks. However, empirical comparisons between
LLM-driven and human-driven online social networks remain scarce, limiting our
understanding of how LLM agents differ from human users. This paper presents a
large-scale analysis of Chirper.ai, an X/Twitter-like social network entirely
populated by LLM agents, comprising over 65,000 agents and 7.7 million
AI-generated posts. For comparison, we collect a parallel dataset from
Mastodon, a human-driven decentralized social network, with over 117,000 users
and 16 million posts. We examine key differences between LLM agents and humans
in posting behaviors, abusive content, and social network structures. Our
findings provide critical insights into the evolving landscape of online social
network analysis in the AI era, offering a comprehensive profile of LLM agents
in social simulations.
",http://arxiv.org/abs/2504.10286v1
RealHarm: A Collection of Real-World Language Model Application Failures,"Pierre Le Jeune, Jiaen Liu, Luca Rossi, Matteo Dora",2025-04-14T14:44:41Z,"  Language model deployments in consumer-facing applications introduce numerous
risks. While existing research on harms and hazards of such applications
follows top-down approaches derived from regulatory frameworks and theoretical
analyses, empirical evidence of real-world failure modes remains underexplored.
In this work, we introduce RealHarm, a dataset of annotated problematic
interactions with AI agents built from a systematic review of publicly reported
incidents. Analyzing harms, causes, and hazards specifically from the
deployer's perspective, we find that reputational damage constitutes the
predominant organizational harm, while misinformation emerges as the most
common hazard category. We empirically evaluate state-of-the-art guardrails and
content moderation systems to probe whether such systems would have prevented
the incidents, revealing a significant gap in the protection of AI
applications.
",http://arxiv.org/abs/2504.10277v1
"Trade-offs in Privacy-Preserving Eye Tracking through Iris Obfuscation:
  A Benchmarking Study","Mengdi Wang, Efe Bozkir, Enkelejda Kasneci",2025-04-14T14:29:38Z,"  Recent developments in hardware, computer graphics, and AI may soon enable
AR/VR head-mounted displays (HMDs) to become everyday devices like smartphones
and tablets. Eye trackers within HMDs provide a special opportunity for such
setups as it is possible to facilitate gaze-based research and interaction.
However, estimating users' gaze information often requires raw eye images and
videos that contain iris textures, which are considered a gold standard
biometric for user authentication, and this raises privacy concerns. Previous
research in the eye-tracking community focused on obfuscating iris textures
while keeping utility tasks such as gaze estimation accurate. Despite these
attempts, there is no comprehensive benchmark that evaluates state-of-the-art
approaches. Considering all, in this paper, we benchmark blurring, noising,
downsampling, rubber sheet model, and iris style transfer to obfuscate user
identity, and compare their impact on image quality, privacy, utility, and risk
of imposter attack on two datasets. We use eye segmentation and gaze estimation
as utility tasks, and reduction in iris recognition accuracy as a measure of
privacy protection, and false acceptance rate to estimate risk of attack. Our
experiments show that canonical image processing methods like blurring and
noising cause a marginal impact on deep learning-based tasks. While
downsampling, rubber sheet model, and iris style transfer are effective in
hiding user identifiers, iris style transfer, with higher computation cost,
outperforms others in both utility tasks, and is more resilient against spoof
attacks. Our analyses indicate that there is no universal optimal approach to
balance privacy, utility, and computation burden. Therefore, we recommend
practitioners consider the strengths and weaknesses of each approach, and
possible combinations of those to reach an optimal privacy-utility trade-off.
",http://arxiv.org/abs/2504.10267v1
"Struggle First, Prompt Later: How Task Complexity Shapes Learning with
  GenAI-Assisted Pretesting","Mahir Akgun, Sacip Toker",2025-04-14T14:12:28Z,"  This study examines the role of AI-assisted pretesting in enhancing learning
outcomes, particularly when integrated with generative AI tools like ChatGPT.
Pretesting, a learning strategy in which students attempt to answer questions
or solve problems before receiving instruction, has been shown to improve
retention by activating prior knowledge. The adaptability and interactivity of
AI-assisted pretesting introduce new opportunities for optimizing learning in
digital environments. Across three experimental studies, we explored how
pretesting strategies, task characteristics, and student motivation influence
learning. Findings suggest that AI-assisted pretesting enhances learning
outcomes, particularly for tasks requiring higher-order thinking. While
adaptive AI-driven pretesting increased engagement, its benefits were most
pronounced in complex, exploratory tasks rather than straightforward
computational problems. These results highlight the importance of aligning
pretesting strategies with task demands, demonstrating that AI can optimize
learning when applied to tasks requiring deeper cognitive engagement. This
research provides insights into how AI-assisted pretesting can be effectively
integrated with generative AI tools to enhance both cognitive and motivational
outcomes in learning environments.
",http://arxiv.org/abs/2504.10249v1
"The Future of MLLM Prompting is Adaptive: A Comprehensive Experimental
  Evaluation of Prompt Engineering Methods for Robust Multimodal Performance","Anwesha Mohanty, Venkatesh Balavadhani Parthasarathy, Arsalan Shahid",2025-04-14T12:31:39Z,"  Multimodal Large Language Models (MLLMs) are set to transform how machines
process and generate human-like responses by integrating diverse modalities
such as text, images, and code. Yet, effectively harnessing their capabilities
hinges on optimal prompt engineering. We present a comprehensive experimental
evaluation of seven prompt engineering methods applied to 13 open-source MLLMs
over 24 tasks spanning Reasoning and Compositionality, Multimodal Understanding
and Alignment, Complex Code Generation and Execution, and Knowledge Retrieval
and Integration. Our approach stratifies models by parameter count into Small
(<4B), Medium (4B-10B), and Large (>10B) categories and compares prompting
techniques including Zero-Shot, One-Shot, Few-Shot, Chain-of-Thought,
Analogical, Generated Knowledge, and Tree-of-Thought. While Large MLLMs excel
in structured tasks such as code generation, achieving accuracies up to 96.88%
under Few-Shot prompting, all models struggle with complex reasoning and
abstract understanding, often yielding accuracies below 60% and high
hallucination rates. Structured reasoning prompts frequently increased
hallucination up to 75% in small models and led to longer response times (over
20 seconds in Large MLLMs), while simpler prompting methods provided more
concise and efficient outputs. No single prompting method uniformly optimises
all task types. Instead, adaptive strategies combining example-based guidance
with selective structured reasoning are essential to enhance robustness,
efficiency, and factual accuracy. Our findings offer practical recommendations
for prompt engineering and support more reliable deployment of MLLMs across
applications including AI-assisted coding, knowledge retrieval, and multimodal
content understanding.
",http://arxiv.org/abs/2504.10179v1
Challenges in interpretability of additive models,"Xinyu Zhang, Julien Martinelli, ST John",2025-04-14T12:24:17Z,"  We review generalized additive models as a type of ``transparent'' model that
has recently seen renewed interest in the deep learning community as neural
additive models. We highlight multiple types of nonidentifiability in this
model class and discuss challenges in interpretability, arguing for restraint
when claiming ``interpretability'' or ``suitability for safety-critical
applications'' of such models.
",http://arxiv.org/abs/2504.10169v1
A Survey of Personalization: From RAG to Agent,"Xiaopeng Li, Pengyue Jia, Derong Xu, Yi Wen, Yingyi Zhang, Wenlin Zhang, Wanyu Wang, Yichao Wang, Zhaocheng Du, Xiangyang Li, Yong Liu, Huifeng Guo, Ruiming Tang, Xiangyu Zhao",2025-04-14T11:57:52Z,"  Personalization has become an essential capability in modern AI systems,
enabling customized interactions that align with individual user preferences,
contexts, and goals. Recent research has increasingly concentrated on
Retrieval-Augmented Generation (RAG) frameworks and their evolution into more
advanced agent-based architectures within personalized settings to enhance user
satisfaction. Building on this foundation, this survey systematically examines
personalization across the three core stages of RAG: pre-retrieval, retrieval,
and generation. Beyond RAG, we further extend its capabilities into the realm
of Personalized LLM-based Agents, which enhance traditional RAG systems with
agentic functionalities, including user understanding, personalized planning
and execution, and dynamic generation. For both personalization in RAG and
agent-based personalization, we provide formal definitions, conduct a
comprehensive review of recent literature, and summarize key datasets and
evaluation metrics. Additionally, we discuss fundamental challenges,
limitations, and promising research directions in this evolving field. Relevant
papers and resources are continuously updated at
https://github.com/Applied-Machine-Learning-Lab/Awesome-Personalized-RAG-Agent.
",http://arxiv.org/abs/2504.10147v1
"COUNTER: Cluster GCN based Energy Efficient Resource Management for
  Sustainable Cloud Computing Environments","Han Wang, Sukhpal Singh Gill, Steve Uhlig",2025-04-14T08:58:34Z,"  Cloud computing, thanks to the pervasiveness of information technologies,
provides a foundational environment for developing IT applications, offering
organizations virtually unlimited and flexible computing resources on a
pay-per-use basis. However, the large data centres where cloud computing
services are hosted consume significant amounts of electricity annually due to
Information and Communication Technology (ICT) components. This issue is
exacerbated by the increasing deployment of large artificial intelligence (AI)
models, which often rely on distributed data centres, thereby significantly
impacting the global environment. This study proposes the COUNTER model,
designed for sustainable cloud resource management. COUNTER is integrated with
cluster graph neural networks and evaluated in a simulated cloud environment,
aiming to reduce energy consumption while maintaining quality of service
parameters. Experimental results demonstrate improvements in resource
utilisation, energy consumption, and cost effectiveness compared to the
baseline model, HUNTER, which employs a gated graph neural network aimed at
achieving carbon neutrality in cloud computing for modern ICT systems.
",http://arxiv.org/abs/2504.09995v1
"Physical Scales Matter: The Role of Receptive Fields and Advection in
  Satellite-Based Thunderstorm Nowcasting with Convolutional Neural Networks","Christoph Metzl, Kianusch Vahid Yousefnia, Richard Müller, Virginia Poli, Miria Celano, Tobias Bölle",2025-04-14T08:57:59Z,"  The focus of nowcasting development is transitioning from physically
motivated advection methods to purely data-driven Machine Learning (ML)
approaches. Nevertheless, recent work indicates that incorporating advection
into the ML value chain has improved skill for radar-based precipitation
nowcasts. However, the generality of this approach and the underlying causes
remain unexplored. This study investigates the generality by probing the
approach on satellite-based thunderstorm nowcasts for the first time. Resorting
to a scale argument, we then put forth an explanation when and why skill
improvements can be expected. In essence, advection guarantees that
thunderstorm patterns relevant for nowcasting are contained in the receptive
field at long lead times. To test our hypotheses, we train ResU-Nets solving
segmentation tasks with lightning observations as ground truth. The input of
the Baseline Neural Network (BNN) are short time series of multispectral
satellite imagery and lightning observations, whereas the Advection-Informed
Neural Network (AINN) additionally receives the Lagrangian persistence nowcast
of all input channels at the desired lead time. Overall, we find only a minor
skill improvement of the AINN over the BNN when considering fully averaged
scores. However, assessing skill conditioned on lead time and wind speed, we
demonstrate that our scale argument correctly predicts the onset of skill
improvement of the AINN over the BNN after 2h lead time. We confirm that
generally advection becomes gradually more important with longer lead times and
higher wind speeds. Our work accentuates the importance of considering and
incorporating the underlying physical scales when designing ML based
forecasting models.
",http://arxiv.org/abs/2504.09994v1
