pmid,title,authors,journal,publication_date,doi,abstract,keywords,url
37392423,Detecting dental caries on oral photographs using artificial intelligence: A systematic review.,"Moharrami M, Farmer J, Singhal S, Watson E, Glogauer M, Johnson AEW, Schwendicke F, Quinonez C",Oral diseases,2024 May,10.1111/odi.14659,"This systematic review aimed at evaluating the performance of artificial intelligence (AI) models in detecting dental caries on oral photographs. Methodological characteristics and performance metrics of clinical studies reporting on deep learning and other machine learning algorithms were assessed. The risk of bias was evaluated using the quality assessment of diagnostic accuracy studies 2 (QUADAS-2) tool. A systematic search was conducted in EMBASE, Medline, and Scopus. Out of 3410 identified records, 19 studies were included with six and seven studies having low risk of biases and applicability concerns for all the domains, respectively. Metrics varied widely and were assessed on multiple levels. F1-scores for classification and detection tasks were 68.3%-94.3% and 42.8%-95.4%, respectively. Irrespective of the task, F1-scores were 68.3%-95.4% for professional cameras, 78.8%-87.6%, for intraoral cameras, and 42.8%-80% for smartphone cameras. Limited studies allowed assessing AI performance for lesions of different severity. Automatic detection of dental caries using AI may provide objective verification of clinicians' diagnoses and facilitate patient-clinician communication and teledentistry. Future studies should consider more robust study designs, employ comparable and standardized metrics, and focus on the severity of caries lesions.",,https://pubmed.ncbi.nlm.nih.gov/37392423/
38402191,Artificial intelligence for radiographic imaging detection of caries lesions: a systematic review.,"Albano D, Galiano V, Basile M, Di Luca F, Gitto S, Messina C, Cagetti MG, Del Fabbro M, Tartaglia GM, Sconfienza LM",BMC oral health,2024 Feb 24,10.1186/s12903-024-04046-7,"The aim of this systematic review is to evaluate the diagnostic performance of Artificial Intelligence (AI) models designed for the detection of caries lesion (CL). An electronic literature search was conducted on PubMed, Web of Science, SCOPUS, LILACS and Embase databases for retrospective, prospective and cross-sectional studies published until January 2023, using the following keywords: artificial intelligence (AI), machine learning (ML), deep learning (DL), artificial neural networks (ANN), convolutional neural networks (CNN), deep convolutional neural networks (DCNN), radiology, detection, diagnosis and dental caries (DC). The quality assessment was performed using the guidelines of QUADAS-2. Twenty articles that met the selection criteria were evaluated. Five studies were performed on periapical radiographs, nine on bitewings, and six on orthopantomography. The number of imaging examinations included ranged from 15 to 2900. Four studies investigated ANN models, fifteen CNN models, and two DCNN models. Twelve were retrospective studies, six cross-sectional and two prospective. The following diagnostic performance was achieved in detecting CL: sensitivity from 0.44 to 0.86, specificity from 0.85 to 0.98, precision from 0.50 to 0.94, PPV (Positive Predictive Value) 0.86, NPV (Negative Predictive Value) 0.95, accuracy from 0.73 to 0.98, area under the curve (AUC) from 0.84 to 0.98, intersection over union of 0.3-0.4 and 0.78, Dice coefficient 0.66 and 0.88, F1-score from 0.64 to 0.92. According to the QUADAS-2 evaluation, most studies exhibited a low risk of bias. AI-based models have demonstrated good diagnostic performance, potentially being an important aid in CL detection. Some limitations of these studies are related to the size and heterogeneity of the datasets. Future studies need to rely on comparable, large, and clinically meaningful datasets. PROSPERO identifier: CRD42023470708.",,https://pubmed.ncbi.nlm.nih.gov/38402191/
35062096,ALLD: Acute Lymphoblastic Leukemia Detector.,"Musleh S, Islam MT, Alam MT, Househ M, Shah Z, Alam T",Studies in health technology and informatics,2022 Jan 14,10.3233/SHTI210863,"Acute Lymphoblastic Leukemia (ALL) is a life-threatening type of cancer wherein mortality rate is unquestionably high. Early detection of ALL can reduce both the rate of fatality as well as improve the diagnosis plan for patients. In this study, we developed the ALL Detector (ALLD), which is a deep learning-based network to distinguish ALL patients from healthy individuals based on blast cell microscopic images. We evaluated multiple DL-based models and the ResNet-based model performed the best with 98% accuracy in the classification task. We also compared the performance of ALLD against state-of-the-art tools utilized for the same purpose, and ALLD outperformed them all. We believe that ALLD will support pathologists to explicitly diagnose ALL in the early stages and reduce the burden on clinical practice overall.",,https://pubmed.ncbi.nlm.nih.gov/35062096/
33783247,Multiclass CBCT Image Segmentation for Orthodontics with Deep Learning.,"Wang H, Minnema J, Batenburg KJ, Forouzanfar T, Hu FJ, Wu G",Journal of dental research,2021 Aug,10.1177/00220345211005338,"Accurate segmentation of the jaw (i.e., mandible and maxilla) and the teeth in cone beam computed tomography (CBCT) scans is essential for orthodontic diagnosis and treatment planning. Although various (semi)automated methods have been proposed to segment the jaw or the teeth, there is still a lack of fully automated segmentation methods that can simultaneously segment both anatomic structures in CBCT scans (i.e., multiclass segmentation). In this study, we aimed to train and validate a mixed-scale dense (MS-D) convolutional neural network for multiclass segmentation of the jaw, the teeth, and the background in CBCT scans. Thirty CBCT scans were obtained from patients who had undergone orthodontic treatment. Gold standard segmentation labels were manually created by 4 dentists. As a benchmark, we also evaluated MS-D networks that segmented the jaw or the teeth (i.e., binary segmentation). All segmented CBCT scans were converted to virtual 3-dimensional (3D) models. The segmentation performance of all trained MS-D networks was assessed by the Dice similarity coefficient and surface deviation. The CBCT scans segmented by the MS-D network demonstrated a large overlap with the gold standard segmentations (Dice similarity coefficient: 0.934 &#xb1; 0.019, jaw; 0.945 &#xb1; 0.021, teeth). The MS-D network-based 3D models of the jaw and the teeth showed minor surface deviations when compared with the corresponding gold standard 3D models (0.390 &#xb1; 0.093 mm, jaw; 0.204 &#xb1; 0.061 mm, teeth). The MS-D network took approximately 25 s to segment 1 CBCT scan, whereas manual segmentation took about 5 h. This study showed that multiclass segmentation of jaw and teeth was accurate and its performance was comparable to binary segmentation. The MS-D network trained for multiclass segmentation would therefore make patient-specific orthodontic treatment more feasible by strongly reducing the time required to segment multiple anatomic structures in CBCT scans.",,https://pubmed.ncbi.nlm.nih.gov/33783247/
39179806,Leveraging AI and CRM integration for predictive oral health care.,"Krishna S, Vyas A",British dental journal,2024 Aug,10.1038/s41415-024-7796-7,,,https://pubmed.ncbi.nlm.nih.gov/39179806/
35507741,Deep learning for automated detection and numbering of permanent teeth on panoramic images.,"Gurses BO, Sener E, Guneri P",Dento maxillo facial radiology,2022 Jul 1,10.1259/dmfr.20220128,,,https://pubmed.ncbi.nlm.nih.gov/35507741/
38853054,Evolution Oroinformatics: A Deep Learning Perspective in Personalised Dental Care.,"Yadalam PK, Anegundi RV, Ardila CM",International dental journal,2024 Oct,10.1016/j.identj.2024.05.009,,,https://pubmed.ncbi.nlm.nih.gov/38853054/
34406309,Demystifying artificial intelligence and deep learning in dentistry.,"Rodrigues JA, Krois J, Schwendicke F",Brazilian oral research,2021,10.1590/1807-3107bor-2021.vol35.0094,"Artificial intelligence (AI) is a general term used to describe the development of computer systems which can perform tasks that normally require human cognition. Machine learning (ML) is one subfield of AI, where computers learn rules from data, capturing its intrinsic statistical patterns and structures. Neural networks (NNs) have been increasingly employed for ML complex data. The application of multilayered NN is referred to as ""deep learning"", which has been recently investigated in dentistry. Convolutional neural networks (CNNs) are mainly used for processing large and complex imagery data, as they are able to extract image features like edges, corners, shapes, and macroscopic patterns using layers of filters. CNN algorithms allow to perform tasks like image classification, object detection and segmentation. The literature involving AI in dentistry has increased rapidly, so a methodological guidance for designing, conducting and reporting studies must be rigorously followed, including the improvement of datasets. The limited interaction between the dental field and the technical disciplines, however, remains a hurdle for applicable dental AI. Similarly, dental users must understand why and how AI applications work and decide to appraise their decisions critically. Generalizable and robust AI applications will eventually prove helpful for clinicians and patients alike.",,https://pubmed.ncbi.nlm.nih.gov/34406309/
36773094,"Comment on ""Deep-learning approach for caries detection and segmentation on dental bitewing radiographs."".",Pun MHJ,Oral radiology,2024 Jan,10.1007/s11282-023-00672-z,,,https://pubmed.ncbi.nlm.nih.gov/36773094/
40195079,Artificial Intelligence in Dentistry: A Narrative Review of Diagnostic and Therapeutic Applications.,"Gao S, Wang X, Xia Z, Zhang H, Yu J, Yang F",Medical science monitor : international medical journal of experimental and clinical research,2025 Apr 8,10.12659/MSM.946676,"Advancements in digital and precision medicine have fostered the rapid development of artificial intelligence (AI) applications, including machine learning, artificial neural networks (ANN), and deep learning, within the field of dentistry, particularly in imaging diagnosis and treatment. This review examines the progress of AI across various domains of dentistry, focusing on its role in enhancing diagnostics and optimizing treatment for oral diseases such as endodontic disease, periodontal disease, oral implantology, orthodontics, prosthodontic treatment, and oral and maxillofacial surgery. Additionally, it discusses the emerging opportunities and challenges associated with these technologies. The findings indicate that AI can be effectively utilized in numerous aspects of oral healthcare, including prevention, early screening, accurate diagnosis, treatment plan design assistance, treatment execution, follow-up monitoring, and prognosis assessment. However, notable challenges persist, including issues related to inaccurate data annotation, limited capability for fine-grained feature expression, a lack of universally applicable models, potential biases in learning algorithms, and legal risks pertaining to medical malpractice and data privacy breaches. Looking forward, future research is expected to concentrate on overcoming these challenges to enhance the accuracy and applicability of AI in diagnosing and treating oral diseases. This review aims to provide a comprehensive overview of the current state of AI in dentistry and to identify pathways for its effective integration into clinical practice.",,https://pubmed.ncbi.nlm.nih.gov/40195079/
36494110,DEEP LEARNING ALGORITHMS SHOW SOME POTENTIAL AS AN ADJUNCTIVE TOOL IN CARIES DIAGNOSIS.,"Hegde S, Gao J",The journal of evidence-based dental practice,2022 Dec,10.1016/j.jebdp.2022.101772,"Mohammad-Rahimi H, Reza Motamedian S, Hossein Rohban M, Krois J, Uribe SE, Mahmoudinia E, Rokhshad R, Nadimi M, Schwendicke F, Deep learning for caries detection: A systematic review, J Dent, 2022,122, 104115. ISSN 0300-5712 https://doi.org/10.1016/j.jdent.2022.104115. Information not available TYPE OF STUDY/DESIGN: Systematic review.",,https://pubmed.ncbi.nlm.nih.gov/36494110/
33303419,Applications of deep learning in dentistry.,"Corbella S, Srinivas S, Cabitza F","Oral surgery, oral medicine, oral pathology and oral radiology",2021 Aug,10.1016/j.oooo.2020.11.003,"Over the last few years, translational applications of so-called artificial intelligence in the field of medicine have garnered a significant amount of interest. The present article aims to review existing dental literature that has examined deep learning, a subset of machine learning that has demonstrated the highest performance when applied to image processing and that has been tested as a formidable diagnostic support tool through its automated analysis of radiographic/photographic images. Furthermore, the article will critically evaluate the literature to describe potential methodological weaknesses of the studies and the need for further development. This review includes 28 studies that have described the applications of deep learning in various fields of dentistry. Research into the applications of deep learning in dentistry contains claims of its high accuracy. Nonetheless, many of these studies have substantial limitations and methodological issues (e.g., examiner reliability, the number of images used for training/testing, the methods used for validation) that have significantly limited the external validity of their results. Therefore, future studies that acknowledge the methodological limitations of existing literature will help to establish a better understanding of the usefulness of applying deep learning in dentistry.",,https://pubmed.ncbi.nlm.nih.gov/33303419/
35202373,Understanding deep learning - challenges and prospects.,"Adnan N, Umer F",JPMA. The Journal of the Pakistan Medical Association,2022 Feb,10.47391/JPMA.AKU-12,"The developments in Artificial Intelligence have been on the rise since its advent. The advancements in this field have been the innovative research area across a wide range of industries, making its incorporation in dentistry inevitable. Artificial Intelligence techniques are making serious progress in the diagnostic and treatment planning aspects of dental clinical practice. This will ultimately help in the elimination of subjectivity and human error that are often part of radiographic interpretations, and will improve the overall efficiency of the process. The various types of Artificial Intelligence algorithms that exist today make the understanding of their application quite complex. The current narrative review was planned to make comprehension of Artificial Intelligence algorithms relatively straightforward. The focus was planned to be kept on the current developments and prospects of Artificial Intelligence in dentistry, especially Deep Learning and Convolutional Neural Networks in diagnostic imaging. The narrative review may facilitate the interpretation of seemingly perplexing research published widely in dental journals.",,https://pubmed.ncbi.nlm.nih.gov/35202373/
36224076,Artificial Intelligence in Oral and Maxillofacial Surgery Education.,Krishnan DG,Oral and maxillofacial surgery clinics of North America,2022 Nov,10.1016/j.coms.2022.03.006,"Artificial intelligence has become ubiquitous with modern technology. Digital transformations are occurring in every field including medicine, surgery, and education. Computers and computer programs are getting sophisticated to form neural networks globally. These algorithms allow for sophisticated and complex pattern recognitions and make accurate predictions. This allows for both accurate diagnosis and prognostication in medicine and opens opportunities for medical and surgical education. Oral and Maxillofacial surgeons and OMS education like all of the surgery are adapting well to the world of AI, incorporating machine learning into simulation, and attaching sensors to master surgeons to understand motion economy.",,https://pubmed.ncbi.nlm.nih.gov/36224076/
31950592,Radiomics and Machine Learning in Oral Healthcare.,"Leite AF, Vasconcelos KF, Willems H, Jacobs R",Proteomics. Clinical applications,2020 May,10.1002/prca.201900040,"The increasing storage of information, data, and forms of knowledge has led to the development of new technologies that can help to accomplish complex tasks in different areas, such as in dentistry. In this context, the role of computational methods, such as radiomics and Artificial Intelligence (AI) applications, has been progressing remarkably for dentomaxillofacial radiology (DMFR). These tools bring new perspectives for diagnosis, classification, and prediction of oral diseases, treatment planning, and for the evaluation and prediction of outcomes, minimizing the possibilities of human errors. A comprehensive review of the state-of-the-art of using radiomics and machine learning (ML) for imaging in oral healthcare is presented in this paper. Although the number of published studies is still relatively low, the preliminary results are very promising and in a near future, an augmented dentomaxillofacial radiology (ADMFR) will combine the use of radiomics-based and AI-based analyses with the radiologist's evaluation. In addition to the opportunities and possibilities, some challenges and limitations have also been discussed for further investigations.",,https://pubmed.ncbi.nlm.nih.gov/31950592/
